workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
FolkloreMap,24,1000,100000000,1000,true,I64,Sum,0,0,+1.262224e7,0.022627558,0.02250345,0.022640018,0.022629038,0.022640748,0.022674298,0.022658488,0.022613948,0.022717088,+2.366e-5,+2.2613029e-2,+0e0,+1.84e-6
FolkloreMap,24,1000,100000000,1000,false,I64,Sum,0,0,+1.262224e7,0.022964465,0.022648828,0.022570749,0.022660638,0.0225045,0.022971085,0.02247649,0.022516439,0.022616458,+2.359e-5,+2.2589808e-2,+0e0,+1.59e-6
FolkloreMap,24,10000000,100000000,10000000,true,I64,Sum,0,0,+3.3259024e8,0.140403273,0.139749739,0.139505691,0.140044917,0.140713622,0.140021347,0.139776489,0.13961861,0.139214813,+2.548e-5,+1.38497429e-1,+0e0,+1.23826e-3
FolkloreMap,24,10000000,100000000,10000000,false,I64,Sum,0,0,+3.3259024e8,0.199473382,0.201369137,0.199892978,0.200701052,0.200780692,0.200575394,0.199503952,0.200733352,0.198737238,+7.9277015e-2,+1.20114958e-1,+0e0,+1.26597e-3
FolkloreMap,24,100000000,100000000,100000000,true,I64,Sum,0,0,+3.212590696e9,0.391152081,0.390265938,0.390183919,0.390196719,0.389311966,0.390765905,0.39023511,0.390648206,0.390178511,+2.9399e-5,+3.78504613e-1,+0e0,+1.1663677e-2
FolkloreMap,24,100000000,100000000,100000000,false,I64,Sum,0,0,+3.212590696e9,0.479996617,0.477702476,0.478175422,0.48477868,0.478107604,0.480896722,0.476844635,0.480467196,0.484272856,+2.36548331e-1,+2.31614782e-1,+0e0,+1.1600307e-2
