workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
IcebergMap,1,10000000,100000000,10000000,false,I64,Sum,0,0,+2.56407584e8,9.751887783,9.744982618,9.746294716,9.748641427,9.744684499,9.74703869,9.744692101,9.74914052,9.746908973,+1.6118844e-2,+9.729987119e0,+0e0,+8.1357e-4
LeapMap,1,10000000,100000000,10000000,false,I64,Sum,0,0,+4.36732552e8,7.660453367,7.662751157,7.664728782,7.666579487,7.665071388,7.66670417,7.6646729449999995,7.661695508,7.664224261,+5.365592e-2,+7.6100713330000005e0,+0e0,+9.31612e-4
AtomicPau,1,10000000,100000000,10000000,false,I64,Sum,0,0,+8.05266e7,1.841815915,1.842637686,1.842109639,1.842067079,1.842053399,1.842074999,1.841700394,1.841645794,1.8417317949999998,+4.926222e-3,+0e0,+1.8368786529999999e0,+8e-8
LockingPau,1,10000000,100000000,10000000,false,I64,Sum,0,0,+2.00529672e8,10.755096596,10.762854696,10.780631561,10.767318515,10.762876739,10.771813814,10.777964293,10.691931045,10.771731976,+2.1503072e-2,+0e0,+1.0745148554e1,+3.47884e-4
ThreadLocalPau,1,10000000,100000000,10000000,false,I64,Sum,0,0,+8.052664e7,2.17760977,2.173626239,2.169848352,2.173783442,2.170829004,2.176045591,2.167950488,2.175074058,2.173110713,+1.2e-7,+0e0,+2.166060224e0,+7.7201e-5
AtomicE2E,1,10000000,100000000,10000000,false,I64,Sum,0,0,+5.60561472e8,6.164272286,6.164882534,6.165958708,6.167383087,6.165773866,6.164224967,6.164778134,6.164949097,6.16599035,+2.4978517e-2,+4.359553621845293e0,+1.7792060932762706e0,+7.7529e-4
ThreadLocalE2E,1,10000000,100000000,10000000,false,I64,Sum,0,0,+5.60561512e8,6.391363365,6.386369942,6.384293277,6.384834493,6.386768054,6.392219183,6.392139958,6.380709028,6.38098033,+2.003114e-2,+4.3688995450663235e0,+1.989920381304403e0,+8.65531e-4
PartitionedE2E,1,10000000,100000000,10000000,false,I64,Sum,0,0,+3.649044984e9,7.7273580410000005,7.712204854,7.710027596,7.704299333,7.720771878,7.725270508,7.720762301,7.727284519,7.72711945,+2.8e-7,+2.632574066e0,+5.032999605e0,+4.6919487e-2
CuckooMap,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+3.70006104e8,22.141706794,21.993081136,22.161361769,21.986269346,22.157387789,22.000372375,22.158397379,22.008063426,22.134804159,+6.5644767e-2,+2.2068187384e1,+0e0,+8.0441e-4
DashMap,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+2.8580688e8,11.291593371,11.286526675,11.356586743,11.340324905,11.322208923,11.320337271,11.313597157,11.320552098,11.652404761,+6.103918e-3,+1.128711135e1,+0e0,+2.7245109e-2
FolkloreMap,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+3.20524608e8,3.406118292,3.407468628,3.404839912,3.408277633,3.405712598,3.40830639,3.406875168,3.420848186,3.407269649,+1.9922175e-2,+3.386541304e0,+0e0,+8.0005e-4
IcebergMap,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+2.56407584e8,8.261681694,8.408727443,8.259775286,8.267204409,8.262208214,8.265871249,8.260104204,8.265789987,8.268745813,+1.6571212e-2,+8.248259042e0,+0e0,+9.53172e-4
LeapMap,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+4.36732552e8,5.978692839,5.975813836,5.976636442,5.972888308,5.975794181,5.972779137,5.975012161,5.972342362,5.976012683,+5.3687206e-2,+5.921090762e0,+0e0,+9.50852e-4
AtomicPau,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+8.05266e7,1.473084212,1.473026411,1.472584885,1.472732007,1.47374962,1.492260775,1.473516016,1.4749011140000001,1.493375508,+4.960184e-3,+0e0,+1.46835943e0,+8e-8
LockingPau,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+2.00529672e8,7.532828481,7.525522741,7.538442538,7.522656091,7.736155249,7.528912157,7.739092792,7.527728769,7.52986699,+2.1528754e-2,+0e0,+7.507697987e0,+3.51884e-4
ThreadLocalPau,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+8.052664e7,1.787628406,1.7933047979999999,1.789059463,1.7954473439999998,1.791108489,1.8279839180000002,1.827992039,1.841428889,1.791533013,+1.6e-7,+0e0,+1.785814782e0,+6.4961e-5
AtomicE2E,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+5.60561472e8,5.055844843,5.053232766,5.055772756,5.054045572,5.056769044,5.056560719,5.131055146,5.052997989,5.053423751,+2.4986399e-2,+3.524247404188525e0,+1.5047145155164683e0,+7.7985e-4
ThreadLocalE2E,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+5.60561512e8,5.28860286,5.299230753,5.295843507,5.389965904,5.296545112,5.300041353,5.303775359,5.385814162,5.297023348,+2.0021935e-2,+3.5410015864211326e0,+1.7312229765087803e0,+8.44211e-4
PartitionedE2E,1,10000000,100000000,10000000,false,I64,Sum,0.8,0,+3.649044984e9,7.191605158,7.189873811,7.189988369,7.172442222,7.200401454,7.193885287,7.168814204,7.191116164,7.200726523,+2.8e-7,+2.717182013e0,+4.427289291e0,+4.6227349e-2
CuckooMap,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+3.70006104e8,16.226725313,16.214825425,16.21961899,16.229207818,16.21487966,16.206957666,16.238699376,16.259254665,16.236306039,+6.6452847e-2,+1.6159471256e1,+0e0,+7.9609e-4
DashMap,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+2.8580688e8,9.115624278,9.118857275,9.129404006,9.127255335,9.136817293,9.133429447,9.121217728,9.134126609,9.12896578,+6.087478e-3,+9.095188271e0,+0e0,+2.7710432e-2
FolkloreMap,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+3.20524608e8,3.338898036,3.339177159,3.338219706,3.338842554,3.338753873,3.339004115,3.338665311,3.33868535,3.339042954,+1.9933854e-2,+3.31811461e0,+0e0,+7.9477e-4
IcebergMap,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+2.56407584e8,7.495289657,7.495070173,7.497068436,7.494836526,7.493222303,7.498630811,7.494661438,7.495399406,7.495327804,+1.6636972e-2,+7.477707433e0,+0e0,+9.55812e-4
LeapMap,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+4.36732552e8,5.328321361,5.329870579,5.329111649,5.329944699,5.330123101,5.330008378,5.328833002,5.328823802,5.328884721,+5.3442719e-2,+5.274655156e0,+0e0,+9.31772e-4
AtomicPau,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+8.05266e7,2.227308002,2.226625833,2.225168174,2.225704461,2.225076252,2.225926584,2.225965464,2.227779606,2.227238,+4.997463e-3,+0e0,+2.220657476e0,+8e-8
LockingPau,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+2.00529672e8,6.653622198,6.651469329,6.653200231,6.653012627,6.654410964,6.655950863,6.650677034,6.653099305,6.653808032,+2.1528874e-2,+0e0,+6.630972508e0,+3.41524e-4
ThreadLocalPau,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+8.052664e7,1.811648952,1.814421187,1.804179577,1.814552868,1.812474403,1.812712605,1.827960918,1.813163851,1.805967999,+1.2e-7,+0e0,+1.805228869e0,+7.7441e-5
AtomicE2E,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+5.60561472e8,5.464880592,5.463797818,5.465985525,5.466732214,5.463654615,5.465839081,5.464849509,5.465697519,5.463407729,+2.5034678e-2,+3.4328798430621417e0,+2.006020630173062e0,+7.9445e-4
ThreadLocalE2E,1,10000000,100000000,10000000,false,I64,Sum,0,0.5,+5.60561512e8,5.037689316,5.031944922,5.035429326,5.036313497,5.030717505,5.03421399,5.027461623,5.039975661,5.031231671,+2.0060735e-2,+3.438431679215146e0,+1.5691771489264663e0,+8.5305e-4
