workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
IcebergMap,1,10000000,100000000,10000000,true,I64,Sum,0,0,+2.56407568e8,4.646766905,4.675950632,4.680996761,4.681303593,4.680844038,4.686846165,4.677785242,4.681506563,4.669706514,+2.18696e-4,+4.679461053e0,+0e0,+1.115862e-3
LeapMap,1,10000000,100000000,10000000,true,I64,Sum,0,0,+4.36732536e8,4.719065333,4.732552353,4.725721434,4.7092404949999995,4.721960928,4.715017724,4.734682637,4.741395661,4.721743587,+8.3962591e-2,+4.637349429e0,+0e0,+1.639078e-3
AtomicPau,1,10000000,100000000,10000000,true,I64,Sum,0,0,+8.0526584e7,1.177055532,1.177104268,1.180275476,1.179975422,1.18037361,1.178689835,1.175876135,1.173920593,1.178220078,+2.0639e-5,+0e0,+1.177854862e0,+3e-8
LockingPau,1,10000000,100000000,10000000,true,I64,Sum,0,0,+2.00529656e8,3.8458451030000003,3.843713496,3.845025875,3.843342024,3.835803419,3.845812524,3.858893748,3.848092183,3.8422318300000002,+1.5521061e-2,+0e0,+3.826984273e0,+5.17755e-4
ThreadLocalPau,1,10000000,100000000,10000000,true,I64,Sum,0,0,+8.0526624e7,1.027024376,1.034150385,1.03600548,1.036233808,1.034321266,1.032233793,1.029279417,1.045494073,1.032333533,+4e-8,+0e0,+1.03361143e0,+1.78849e-4
AtomicE2E,1,10000000,100000000,10000000,true,I64,Sum,0,0,+5.60561456e8,3.447998764,3.445688155,3.429417822,3.447853672,3.4340435129999998,3.431479094,3.428423426,3.437292405,3.448874016,+3.262e-5,+2.4832915712518044e0,+9.517939787481958e-1,+1.38666e-3
ThreadLocalE2E,1,10000000,100000000,10000000,true,I64,Sum,0,0,+5.60561496e8,3.292953197,3.316248882,3.319161233,3.314455099,3.348954082,3.313665315,3.3144120409999998,3.289187577,3.324536214,+2.7619e-5,+2.5087081962668973e0,+8.064362050091638e-1,+1.482143e-3
PartitionedE2E,1,10000000,100000000,10000000,true,I64,Sum,0,0,+3.649044984e9,4.956404656,5.208194989,5.213488949,5.225335608,5.214017123,5.162544388,5.173068673,5.170945743,5.148105936,+4e-8,+2.319450514e0,+2.859857486e0,+2.8283466e-2
CuckooMap,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+3.70006112e8,11.353941301,11.352250321,11.349887533,11.338078213,11.624785656,11.571557754,11.542097056,11.574643044,11.560813688,+6.543844e-3,+1.1533943444e1,+0e0,+1.325113e-3
DashMap,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+2.8581096e8,7.700084008,7.5518342149999995,7.497121315,7.650976538,7.557079085,7.493173893,7.555951187,7.509432781,7.5130202520000005,+1.0320659e-2,+7.518340847e0,+0e0,+2.3751582e-2
FolkloreMap,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+3.20524592e8,1.8656095270000002,1.8673101810000001,1.8644755640000001,1.85644151,1.8597051329999998,1.858558716,1.8599300460000001,1.8655092089999998,1.865313638,+2.328e-5,+1.8631394449999998e0,+0e0,+1.320249e-3
IcebergMap,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+2.56407568e8,4.153155072,4.118631647,4.126123569,4.102784224,4.153787647,4.112492781,4.121214292,4.152316239,4.122662908,+2.99623e-4,+4.121097825e0,+0e0,+1.197689e-3
LeapMap,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+4.36732536e8,3.932581055,3.939825824,3.929555975,3.930396881,3.932722017,3.906369686,3.943647728,3.961390646,3.938587428,+8.8972033e-2,+3.8465680620000002e0,+0e0,+1.614585e-3
AtomicPau,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+8.0526584e7,1.125837968,1.122778995,1.123816622,1.128040899,1.128209518,1.127372066,1.12506052,1.12851273,1.126917362,+2.0951e-5,+0e0,+1.126533598e0,+3e-8
LockingPau,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+2.00529656e8,3.288061955,3.286336367,3.284590536,3.28510855,3.265978099,3.286780266,3.28590286,3.301579478,3.293441035,+1.4371009e-2,+0e0,+3.27143406e0,+4.96005e-4
ThreadLocalPau,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+8.0526624e7,0.951129592,0.947279449,0.948759961,0.955648022,0.952600058,0.950440811,0.948275055,0.948637757,0.95199691,+4e-8,+0e0,+9.49914825e-1,+1.88052e-4
AtomicE2E,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+5.60561456e8,2.9032742110000003,2.896403561,2.896355865,2.908397273,2.91404908,2.910902328,2.89671277,2.897683323,2.899065868,+3.1461e-5,+1.9794187015459885e0,+9.174943314540117e-1,+1.405276e-3
ThreadLocalE2E,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+5.60561496e8,2.774784842,2.76568042,2.740607077,2.772010334,2.754186985,2.777182828,2.772969148,2.75924819,2.75365556,+2.802e-5,+2.008188826175462e0,+7.544503155625863e-1,+1.503348e-3
PartitionedE2E,1,10000000,100000000,10000000,true,I64,Sum,0.8,0,+3.649044984e9,4.592204078,4.57158722,4.545776561,4.599487476,4.546566874,4.541854229,4.562280049,4.574254055,4.579244325,+1.7e-7,+2.103202914e0,+2.435481661e0,+2.7947425e-2
CuckooMap,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+3.70006112e8,9.742629239,9.741738578,9.822484268,9.766560207,9.766991466,9.765310455,9.768231612,9.766878136999999,9.768553513,+7.068279e-3,+9.758588558e0,+0e0,+1.303508e-3
DashMap,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+2.8581096e8,6.407462337,6.406997891,6.434291856,6.370385295,6.41994608,6.404719803,6.406851968,6.472260193,6.298078414,+1.0254392e-2,+6.373179202e0,+0e0,+2.3623268e-2
FolkloreMap,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+3.20524592e8,1.864174048,1.86398457,1.864336519,1.863800976,1.863192572,1.8640428199999999,1.863670098,1.863348217,1.8622194730000001,+2.317e-5,+1.862383525e0,+0e0,+1.335271e-3
IcebergMap,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+2.56407568e8,3.848898176,3.938098945,3.90433363,3.89592872,3.912492652,3.941583052,3.927354379,3.951904298,3.928955823,+2.78675e-4,+3.925862495e0,+0e0,+1.219739e-3
LeapMap,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+4.36732536e8,3.765076006,3.77199884,3.770163283,3.771026569,3.7720024739999998,3.774165039,3.772709683,3.775307415,3.774256204,+8.3946102e-2,+3.685619951e0,+0e0,+1.616657e-3
AtomicPau,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+8.0526584e7,1.121383628,1.125650679,1.122067291,1.125859682,1.120710548,1.119672882,1.128374733,1.125365435,1.11778027,+2.073e-5,+0e0,+1.121701894e0,+3e-8
LockingPau,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+2.00529656e8,3.133378601,3.126708155,3.1268617340000002,3.129167357,3.14540413,3.142784153,3.163884978,3.142622519,3.148785465,+2.1502826e-2,+0e0,+3.127353356e0,+5.13239e-4
ThreadLocalPau,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+8.0526624e7,0.965411304,0.968233498,0.960919952,0.961073091,0.960755732,0.962201694,0.962560597,0.97604998,0.977059743,+4e-8,+0e0,+9.62031318e-1,+1.90103e-4
AtomicE2E,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+5.60561456e8,2.811297545,2.806842895,2.844827723,2.825757086,2.7916895840000002,2.795608634,2.799815239,2.800102257,2.8007939520000003,+3.1741e-5,+1.9283684971924533e0,+8.702261578075471e-1,+1.385604e-3
ThreadLocalE2E,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+5.60561496e8,2.667093728,2.6667770490000002,2.667774652,2.663508397,2.69302747,2.659185454,2.693351019,2.683952423,2.695020048,+2.8461e-5,+1.9456898957363822e0,+7.243393050924459e-1,+1.491376e-3
PartitionedE2E,1,10000000,100000000,10000000,true,I64,Sum,0,0.5,+2.038432248e9,4.037595467,4.020235445,4.028291213,4.035600269,4.03124656,4.033555717,4.041133256,4.045818824,4.027883254,+1.3e-7,+2.48554289e0,+1.523438144e0,+2.8625307e-2
CuckooMap,1,100000000,100000000,100000000,true,I64,Sum,0,0,+3.700007232e9,23.890356812,23.885918359,23.88973123,23.810927517,23.888554507,23.881864617,23.88364278,23.885915335,23.88249523,+2.9246925e-2,+2.384287934e1,+0e0,+1.3451653e-2
DashMap,1,100000000,100000000,100000000,true,I64,Sum,0,0,+2.282299664e9,12.374280564,12.103259809,12.348572655,12.406134125,12.256201166,12.262320537,12.304131564,12.268872404,12.049035795,+5.9869863e-2,+1.2128272617e1,+0e0,+8.3852354e-2
FolkloreMap,1,100000000,100000000,100000000,true,I64,Sum,0,0,+3.200524592e9,4.276649282,4.278749739,4.271481337,4.272240996,4.296113134,4.28716553,4.275615418,4.2756062440000004,4.272022318,+2.2847e-5,+4.264014665e0,+0e0,+1.1660381e-2
IcebergMap,1,100000000,100000000,100000000,true,I64,Sum,0,0,+2.55934846e9,9.291649331,9.52594484,9.387418282,9.436459574,9.223099669,9.529012435,9.278855585,9.115323362,9.075519451,+6.328449e-3,+9.274474587e0,+0e0,+9.511008e-3
LeapMap,1,100000000,100000000,100000000,true,I64,Sum,0,0,+1.0469507784e10,14.702489613000001,14.665396601,14.7236897,14.689987881,14.513652014,14.511385358,14.506140234,14.694292631,14.761017049,+2.86108052e-1,+1.4375925978e1,+0e0,+2.4544408e-2
AtomicPau,1,100000000,100000000,100000000,true,I64,Sum,0,0,+8.00526584e8,1.211417826,1.212353043,1.217021892,1.212028964,1.212170991,1.209449288,1.212147391,1.209812777,1.212414284,+2.1099e-5,+0e0,+1.208903582e0,+4e-8
LockingPau,1,100000000,100000000,100000000,true,I64,Sum,0,0,+2.000529656e9,4.056117874,4.05673385,4.051357519,4.055285973,4.06103525,4.061029918,4.060571657,4.061049079,4.063469177,+9.6457063e-2,+0e0,+3.955474959e0,+4.543624e-3
