workload,threads,keys,elements,capacity,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
ThreadLocalE2E,16,100000000,100000000,100000000,0,0,+1.6399648547172546e1,0.998821853,0.977067436,0.951859507,0.981985214,1.100892872,1.047088969,1.029981264,0.950099806,1.022846294,+2.30032434e-1,+3.800344990834552e-1,+1.4311110884144881e-1,+2.52524238e-1
PartitionedE2E,16,100000000,100000000,100000000,0,0,+9.413148999214172e0,0.763515958,0.746908615,0.761363144,0.742062166,0.741914489,0.761683469,0.772193715,0.759860049,0.752524552,+3.1e-7,+1.61636384e-1,+4.8514129e-1,+1.09314247e-1
AtomicE2E,32,1000,100000000,1000,0,0,+1.58388614654541e-2,0.839511472,0.878873795,0.86901612,0.820969391,0.822936888,0.819154481,0.911661779,0.875065679,0.885045963,+2.6489e-5,+1.183517919292819e-2,+8.570119312121461e-1,+1.4469e-5
LockingE2E,32,1000,100000000,1000,0,0,+1.5941619873046875e-2,0.882449006,0.882229951,0.878669539,0.881261347,0.886849644,0.887600341,0.875406854,0.879485656,0.887720689,+3.6239e-5,+1.2021430595027487e-2,+8.702188985224016e-1,+2.407e-5
ThreadLocalE2E,32,1000,100000000,1000,0,0,+1.7911553382873535e-2,0.023527497,0.025420667,0.024037489,0.024661419,0.024858545,0.023045476,0.023087815,0.023557427,0.023756034,+3.291e-5,+1.8198886725625456e-2,+3.0955371306325293e-3,+2.546378e-3
PartitionedE2E,32,1000,100000000,1000,0,0,+3.0994415283203125e-2,0.025709682,0.024418762,0.02404327,0.025423785,0.024717877,0.023174343,0.023208523,0.023857482,0.024195647,+4.51e-7,+2.2296788e-2,+1.907168e-3,+2.9089e-5
AtomicE2E,32,10000000,100000000,10000000,0,0,+5.373272895812988e-1,0.238930586,0.252670048,0.24646477,0.249654328,0.250633331,0.242570236,0.256013181,0.242044485,0.250872877,+8.2668542e-2,+1.2380957515309338e-1,+3.8005326960967326e-2,+1.900268e-3
LockingE2E,32,10000000,100000000,10000000,0,0,+6.491775512695313e-1,0.351721056,0.358495332,0.350533046,0.354736886,0.355472183,0.343471994,0.342283643,0.349008531,0.352913976,+9.2679644e-2,+1.0693525913729081e-1,+1.4556796502055874e-1,+2.751264e-3
ThreadLocalE2E,32,10000000,100000000,10000000,0,0,+2.8489209413528442e0,0.276111576,0.283772699,0.25610759,0.265629351,0.257875761,0.252647618,0.255406842,0.260572086,0.260062645,+3.7515264e-2,+1.2127625133536607e-1,+5.045994712996274e-2,+5.1136587e-2
PartitionedE2E,32,10000000,100000000,10000000,0,0,+3.479625701904297e0,0.430791778,0.439243347,0.425819841,0.428583835,0.43249294,0.438181135,0.428680163,0.440239071,0.443268689,+4.51e-7,+1.13884852e-1,+1.0139925e-1,+2.19725997e-1
AtomicE2E,32,100000000,100000000,100000000,0,0,+5.231195688247681e0,0.576127635,0.583905075,0.550733829,0.612754095,0.564900552,0.638307639,0.545934968,0.590335679,0.574787907,+2.88168755e-1,+2.143411656164592e-1,+3.431702838354084e-2,+2.3946811e-2
LockingE2E,32,100000000,100000000,100000000,0,0,+6.348873853683472e0,0.758993157,0.761594554,0.76424361,0.688770578,0.67841119,0.696984401,0.745359175,0.720620107,0.759787965,+3.48997532e-1,+2.560797918437686e-1,+1.0344207515623138e-1,+2.5731391e-2
ThreadLocalE2E,32,100000000,100000000,100000000,0,0,+2.8329887628555298e1,1.247989826,1.249880645,1.257786353,1.324058448,1.227727304,1.2673337230000001,1.242129955,1.274409076,1.210879376,+2.35264229e-1,+2.5377577171911464e-1,+2.3730034228088545e-1,+4.98951343e-1
PartitionedE2E,32,100000000,100000000,100000000,0,0,+9.087974786758423e0,0.663422632,0.6940837,0.656889891,0.65930469,0.648020258,0.630167206,0.67070299,0.681554689,0.643410466,+5e-7,+1.15307768e-1,+2.53354807e-1,+2.84497318e-1
